model,model_path,repetition,audio_count,word_errors,reference_words,wer_corpus,char_errors,reference_characters,cer_corpus,inference_seconds_total,audio_seconds_total,rtf_corpus,rtf_mean_per_audio,rtf_sd_per_audio
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",1,10,40,402,0.099502488,103,2324,0.044320138,8.445502084,212.288000000,0.039783229,0.040495524,0.006898120
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",2,10,40,402,0.099502488,103,2324,0.044320138,8.406326500,212.288000000,0.039598689,0.040205012,0.005077704
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",3,10,40,402,0.099502488,103,2324,0.044320138,8.386832293,212.288000000,0.039506860,0.040208454,0.006141574
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",4,10,40,402,0.099502488,103,2324,0.044320138,7.946637666,212.288000000,0.037433287,0.037964068,0.004655457
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",5,10,40,402,0.099502488,103,2324,0.044320138,8.373321336,212.288000000,0.039443216,0.040050676,0.005631501
"F16","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f16.bin",1,10,40,402,0.099502488,103,2324,0.044320138,6.639170791,212.288000000,0.031274357,0.031895628,0.006957016
"F16","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f16.bin",2,10,40,402,0.099502488,103,2324,0.044320138,6.530777375,212.288000000,0.030763761,0.031190082,0.003613609
"F16","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f16.bin",3,10,40,402,0.099502488,103,2324,0.044320138,6.580126710,212.288000000,0.030996225,0.031417267,0.003527607
"F16","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f16.bin",4,10,40,402,0.099502488,103,2324,0.044320138,6.429592667,212.288000000,0.030287123,0.030745444,0.003835553
"F16","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f16.bin",5,10,40,402,0.099502488,103,2324,0.044320138,6.415897377,212.288000000,0.030222610,0.030571565,0.003092975
"Q8_0","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-q8_0.bin",1,10,46,402,0.114427861,120,2324,0.051635112,6.118846082,212.288000000,0.028823325,0.029241461,0.003814333
"Q8_0","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-q8_0.bin",2,10,46,402,0.114427861,120,2324,0.051635112,6.232486168,212.288000000,0.029358636,0.029851379,0.004398945
"Q8_0","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-q8_0.bin",3,10,46,402,0.114427861,120,2324,0.051635112,6.250242666,212.288000000,0.029442280,0.029932375,0.004793591
"Q8_0","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-q8_0.bin",4,10,46,402,0.114427861,120,2324,0.051635112,6.405539790,212.288000000,0.030173819,0.030692540,0.004985221
"Q8_0","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-q8_0.bin",5,10,46,402,0.114427861,120,2324,0.051635112,6.153897794,212.288000000,0.028988439,0.029426940,0.003759362
"Q5_1","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-q5_1.bin",1,10,51,402,0.126865672,130,2324,0.055938038,6.433918042,212.288000000,0.030307498,0.030730931,0.003855363
"Q5_1","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-q5_1.bin",2,10,51,402,0.126865672,130,2324,0.055938038,6.479348915,212.288000000,0.030521503,0.031046071,0.004778057
"Q5_1","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-q5_1.bin",3,10,51,402,0.126865672,130,2324,0.055938038,6.604540707,212.288000000,0.031111230,0.031612461,0.004465446
"Q5_1","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-q5_1.bin",4,10,51,402,0.126865672,130,2324,0.055938038,6.475259542,212.288000000,0.030502240,0.030925362,0.003501869
"Q5_1","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-q5_1.bin",5,10,51,402,0.126865672,130,2324,0.055938038,6.496451419,212.288000000,0.030602066,0.030990841,0.003229769
"Q4_0","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-q4_0.bin",1,10,52,402,0.129353234,134,2324,0.057659208,6.168987460,212.288000000,0.029059520,0.029473387,0.003905841
"Q4_0","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-q4_0.bin",2,10,52,402,0.129353234,134,2324,0.057659208,6.014685249,212.288000000,0.028332667,0.028750414,0.003769789
"Q4_0","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-q4_0.bin",3,10,52,402,0.129353234,134,2324,0.057659208,5.999789835,212.288000000,0.028262501,0.028610778,0.003067562
"Q4_0","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-q4_0.bin",4,10,52,402,0.129353234,134,2324,0.057659208,6.054805541,212.288000000,0.028521657,0.028855286,0.003044244
"Q4_0","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-q4_0.bin",5,10,52,402,0.129353234,134,2324,0.057659208,5.989092418,212.288000000,0.028212110,0.028607877,0.003545667
