llm_model,llm_quantization,condition,asr_model,audio_count,chrf_mean_per_audio,chrf_sd_per_audio,chrf_corpus,total_duration_mean_s,total_duration_total_s,eval_duration_mean_s
gemma3:1b-it-q8_0,Q8_0,llm_only,REFERENCE,10,82.3979130253359,8.291356749223057,85.28284998238303,1.9805840834000006,19.805840834000005,1.3764180000000001
gemma3:1b-it-q8_0,Q8_0,asr_high_precision,F32,10,76.45276104092571,10.89475635845922,80.89783862707091,1.7342509292,17.342509292,1.1769298000000001
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q8_0,10,76.02078811908872,9.71554108419061,80.60419141738078,1.5822571417,15.822571416999999,1.0893290000000002
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q5_1,10,75.69424612129976,9.4196828584916,80.43687061016585,1.6542424707999999,16.542424708,1.1320789999999998
gemma3:1b-it-q8_0,Q8_0,asr_quantized,Q4_0,10,74.40723242828969,9.785701930688145,78.67130021302418,1.6039198414999998,16.039198414999998,1.0627856
gemma3:1b,Q4_K_M,llm_only,REFERENCE,10,83.82787032904491,5.7995952682040794,86.10602468709298,1.4772908375,14.772908375,0.9099328
gemma3:1b,Q4_K_M,asr_high_precision,F32,10,76.22961808905133,9.819246423662191,80.48163157099397,1.5076622791,15.076622791,0.9470813
gemma3:1b,Q4_K_M,asr_quantized,Q8_0,10,77.28399256120537,9.767499780532741,81.02340347390111,1.4785160665,14.785160665,0.9513643998000001
gemma3:1b,Q4_K_M,asr_quantized,Q5_1,10,74.71550648869777,9.388234220360845,79.32483648250478,1.4879079625,14.879079625,0.9357449000000001
gemma3:1b,Q4_K_M,asr_quantized,Q4_0,10,73.23183075316892,8.104313421807328,78.04355138540616,1.5011050543,15.011050543,0.9292595998999997
