modelo,repeticion,rss_bytes,rss_mib
f32,1,529547264,505.02
f32,2,548995072,523.56
f32,3,551911424,526.34
f32,4,551944192,526.38
f32,5,551632896,526.08
f16,1,305840128,291.67
f16,2,357007360,340.47
f16,3,358547456,341.94
f16,4,357908480,341.33
f16,5,356417536,339.91
q8_0,1,268124160,255.70
q8_0,2,265977856,253.66
q8_0,3,266207232,253.88
q8_0,4,265076736,252.80
q8_0,5,265306112,253.02
q5_1,1,238469120,227.42
q5_1,2,235536384,224.62
q5_1,3,234717184,223.84
q5_1,4,234913792,224.03
q5_1,5,236257280,225.31
q4_0,1,217661440,207.58
q4_0,2,216399872,206.38
q4_0,3,218382336,208.27
q4_0,4,219054080,208.91
q4_0,5,218513408,208.39
